day, month, hour, weekend, publicHoliday, daysBeforeBooking, weatherCondition, occupancyRate, target_multiplier
  7,     8,    7,       0,             0,                 9,                0,          0.42,              0.77
 20,     7,   11,       0,             0,                 4,                1,          0.88,              0.95
 29,    11,   22,       1,             0,                18,                0,          0.31,              1.77
 15,     4,   11,       0,             0,                17,                1,          0.98,              0.99
 11,     8,    0,       1,             0,                27,                2,          0.65,              0.64
  8,     5,    0,       0,             0,                30,                0,          0.63,              0.82
 29,    10,   14,       0,             0,                16,                1,          0.81,              1.02
 21,     9,   16,       0,             0,                23,                0,          0.44,              1.47
  7,    12,    1,       0,             0,                 0,                0,          0.26,              0.78
 26,    12,   16,       0,             0,                 4,                0,          0.26,              1.28
 19,    10,   19,       1,             0,                20,                0,          0.33,              1.61
 23,     5,    8,       0,             0,                16,                0,          0.62,              0.79
 11,     1,   11,       1,             1,                24,                0,          0.84,              1.15
 11,    12,    3,       0,             0,                20,                0,          0.5 ,              0.81
 24,     9,   12,       1,             0,                 8,                0,          0.4 ,              1.07
 21,    12,    3,       0,             0,                10,                1,          0.79,              0.74
  4,     5,    6,       0,             0,                21,                0,          0.29,              0.8
  8,     6,   13,       0,             0,                 6,                0,          0.69,              0.8
 24,     4,    8,       0,             0,                 6,                0,          0.11,              0.76
  3,     6,   22,       1,             0,                 1,                2,          0.11,              1.51
 22,    12,    0,       0,             0,                13,                0,          0.64,              0.78
 21,     8,    0,       0,             0,                15,                2,          0.08,              0.6
  2,     3,   19,       0,             0,                 4,                0,          0.16,              1.36
 24,     5,    3,       0,             0,                17,                0,          0.62,              0.73
 12,     2,    0,       0,             0,                 3,                0,          0.44,              0.69
 30,     2,   21,       0,             1,                11,                0,          0.56,              1.65
  6,     7,    9,       0,             0,                18,                0,          0.98,              1.03
  2,    10,    1,       1,             0,                27,                0,          0.63,              0.99
 28,    10,   20,       0,             0,                12,                1,          0.59,              1.56
 21,    11,   23,       0,             0,                26,                0,          0.38,              1.33
  1,    10,   14,       1,             0,                 5,                1,          0.63,              0.99
 12,     6,    2,       1,             0,                10,                1,          0.01,              1.01
 26,     4,   22,       1,             0,                14,                1,          0.56,              1.72
 22,     5,    8,       0,             0,                20,                0,          0.07,              0.81
 29,     1,   16,       0,             0,                16,                0,          0.22,              1.49
 12,     7,   20,       1,             1,                30,                0,          0.56,              1.67
 25,     8,   12,       0,             0,                 1,                1,          0.67,              0.71
 17,     9,    2,       0,             0,                12,                1,          0.38,              0.81
 27,     8,    3,       0,             0,                22,                0,          0.42,              0.74
 27,     5,    3,       0,             0,                24,                0,          0.5 ,              0.74
 31,     3,   10,       1,             0,                 0,                0,          0.76,              0.95
 10,    10,    6,       0,             0,                 3,                1,          0.02,              0.74
 28,    11,   10,       1,             0,                29,                0,          0.45,              1.0
 28,     9,   23,       0,             1,                30,                2,          0.01,              1.4
 16,     6,   10,       1,             0,                14,                2,          0.32,              0.77
 15,     5,    9,       0,             0,                15,                1,          0.52,              0.75
 30,     3,    4,       0,             0,                10,                0,          0.08,              0.72
 30,     6,   12,       0,             0,                 2,                0,          0.49,              0.69
 15,     3,   11,       1,             0,                11,                0,          0.92,              1.24
 30,    10,    9,       1,             0,                11,                2,          0.69,              0.74
 19,    12,    6,       0,             1,                10,                0,          0.78,              0.95
 12,     6,   18,       0,             1,                15,                1,          0.58,              1.79
 23,     4,   18,       1,             0,                28,                2,          0.9 ,              1.54
 20,     2,   18,       1,             1,                20,                1,          0.15,              1.73
 25,     8,   11,       0,             1,                20,                1,          0.45,              1.05
  3,     4,   19,       1,             0,                12,                0,          0.6 ,              1.76
  5,     9,   21,       0,             0,                11,                0,          0.87,              1.6
 19,     7,   14,       0,             0,                 9,                0,          0.31,              0.73
  7,    12,    4,       0,             0,                25,                2,          0.0 ,              0.6
 21,     2,   23,       1,             0,                10,                2,          0.97,              1.5
  9,     4,   13,       0,             0,                17,                0,          0.03,              0.77
  7,     5,   11,       0,             0,                 4,                0,          0.15,              0.75
 18,     3,   20,       1,             0,                19,                1,          0.42,              1.73
  4,     9,   10,       0,             0,                12,                0,          0.5 ,              0.76
 25,     5,    4,       1,             0,                16,                0,          0.83,              1.23
 28,     2,   15,       1,             0,                11,                0,          0.45,              0.98
 14,    11,   17,       1,             0,                16,                2,          0.55,              1.23
 18,     3,   11,       0,             0,                 0,                2,          0.2 ,              0.6
 26,     9,    4,       0,             0,                 7,                1,          0.57,              0.77
  9,     7,   15,       1,             0,                15,                1,          0.35,              0.98
 26,     2,   11,       0,             0,                14,                0,          0.1 ,              0.88
 21,     9,   22,       0,             0,                18,                1,          0.95,              1.67
  2,     4,    1,       0,             0,                24,                0,          0.08,              0.75
 20,     9,    5,       0,             0,                30,                0,          0.68,              0.77
 28,     2,   22,       1,             0,                 9,                0,          0.91,              1.81
 15,    12,   20,       0,             0,                 1,                0,          0.18,              1.36
 28,    10,    3,       0,             0,                24,                2,          0.24,              0.6
  7,    12,   12,       0,             1,                26,                2,          0.43,              0.72
 12,     4,    9,       0,             0,                24,                1,          0.29,              0.79
 29,     5,   16,       0,             0,                30,                1,          0.76,              1.5
  8,     2,   13,       1,             0,                 3,                0,          0.34,              0.94
 15,    10,   23,       0,             1,                 3,                0,          0.99,              1.88
  3,     1,   14,       0,             0,                19,                1,          0.86,              0.93
 14,     7,    7,       1,             0,                11,                0,          0.9 ,              1.2
 17,    10,   22,       0,             0,                16,                0,          0.06,              1.44
  4,     1,   23,       0,             0,                20,                1,          0.18,              1.49
 18,    11,   17,       1,             0,                28,                0,          0.17,              1.49
  8,    11,    2,       0,             0,                21,                0,          0.67,              0.84
  4,     8,   16,       1,             0,                 3,                0,          0.01,              1.59
  2,     3,   23,       1,             0,                 7,                0,          0.81,              1.92
 30,    10,   23,       1,             0,                15,                1,          0.55,              1.55
  6,     6,    6,       1,             0,                30,                1,          0.57,              0.95
 22,     7,   12,       0,             0,                14,                0,          0.54,              0.81
 10,    10,   15,       1,             1,                29,                2,          0.54,              0.67
  4,     1,    4,       1,             0,                13,                1,          0.2 ,              0.99
 22,     6,    3,       0,             0,                18,                0,          0.28,              0.79
 29,     7,    9,       0,             0,                10,                1,          0.49,              0.7
 31,     6,   12,       1,             0,                24,                0,          0.68,              0.9
 18,     4,    9,       0,             0,                12,                1,          0.27,              0.78
 26,     1,   13,       1,             0,                22,                1,          0.81,              1.08
 12,    11,   21,       0,             0,                 7,                0,          0.81,              1.78
  2,     9,   11,       0,             0,                22,                1,          0.27,              0.81
